Label,Virtual Machine IP,KVM Host,KVM OS,ZService,Component,Group,Kernel Version,MAC Address,OS,RAM (GB),Memory Encryption,Role,Disk Count,Total Disk Size (GB),VLAN,Server Age,vCPUs,Drive Type,CPU Affinity Type
CT1B-0203-BTA16-N4-vm8,172.20.92.49,172.20.95.9,Debian 11.7,Writer,AppServer,writerpdfimport,5.10.191,a6:fc:ee:4e:67:a7,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm10,172.20.97.113,172.20.95.9,Debian 11.7,Docs,MySQL,teamdrivemig,6.1.123,9e:8a:96:83:1a:51,Debian 12.9,16,Unknown,Slave,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0203-BTA16-N4-vm11,172.20.91.65,172.20.95.9,Debian 11.7,Zdot,ZCrmDOT,impactanalyser,6.1.123,d6:01:b5:2a:5e:15,Debian 12.9,16,Unknown,-,1,1200,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm13,172.20.97.110,172.20.95.9,Debian 11.7,Docs,MySQL,teamdrive,6.1.123,a2:ee:f0:bd:ec:f6,Debian 12.9,16,Unknown,Master,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm14,172.20.97.104,172.20.95.9,Debian 11.7,Logs-ZlQuery-Csez,DFS-DataNode,NA,6.1.123,6a:62:b3:e7:28:57,Debian 12.9,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm15,172.20.92.56,172.20.95.9,Debian 11.7,Reports,C-Store,reports-cs-qa-swim,5.10.191,fa:11:e5:ad:53:2a,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm16,172.20.92.57,172.20.95.9,Debian 11.7,BDaaSAdmin,PrestoCoordinator,prestobdaas_beast,5.10.191,be:58:e8:d3:0c:45,Debian 11.7,16,Unknown,Slave,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm17,172.20.92.58,172.20.95.9,Debian 11.7,RTCPlatform,WDPServer,WDPServer-main,5.10.191,fe:ef:a4:3f:15:b7,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm18,172.20.92.59,172.20.95.9,Debian 11.7,Reports,C-Store,reports-cs-qa-swim,5.10.191,6a:b3:43:8a:b0:8c,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm19,172.20.92.60,172.20.95.9,Debian 11.7,RTCPlatform,WDPServer,WDPServer-main,5.10.191,c6:8a:04:d2:ef:cc,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm20,172.20.92.61,172.20.95.9,Debian 11.7,Reports,AppServer,zaswimapi,5.10.191,4e:01:20:6e:90:85,Debian 11.7,16,Unknown,-,1,644,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-BTA16-N4-vm22,172.20.63.52,172.20.95.9,Debian 11.7,CWS,Kubernetes-Worker,worker,6.1.112,16:d1:6b:da:ee:17,Debian 12.6,128,Unknown,-,1,3700,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0203-H1U11-vm35,172.20.60.139,172.20.68.188,Debian 12.6,Zmvault-Csez,AppServer,dlp_csez,6.1.94,9a:f1:51:96:9d:55,Debian 12.6,4,None,-,1,268,VLAN-172.20,2,32,SSD,Shared - Group 2
CT1B-0204-BTA14-N3-vm9,10.62.23.170,10.62.23.117,Debian 11.7,RTCPlatform,ZVPMediaServer,"ZVPMEDIAServer-internal,ZVPMEDIAServer-zvparattai",6.1.112,3a:94:25:96:2b:53,Debian 12.6,8,Unknown,-,1,215,CT1B-VLAN2,2,32,NVMe,Shared - Group 2
CT1B-0202-BTA14-N2-vm1,172.20.68.166,172.20.68.158,Debian 11.7,ZACTesting,Test-Server,Satya,6.1.123,c6:91:f0:fe:4f:5b,Debian 12.9,4,Unknown,-,1,215,VLAN-172.20,2,32,NVMe,Shared - Group 1
CT1B-0202-BTA14-N2-vm13,172.20.68.178,172.20.68.158,Debian 11.7,Platform,AppServer,platformapi,5.10.191,3e:93:49:56:78:b0,Debian 11.7,8,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0202-BTA14-N2-vm16,172.20.68.14,172.20.68.158,Debian 11.7,HackSaw,AppServer,iast,5.10.191,46:b2:1e:b0:28:ef,Debian 11.7,8,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 2
CT1B-0202-BTA14-N2-vm17,172.20.68.15,172.20.68.158,Debian 11.7,WmsCsez,PSBServer,PSBServer-pre,6.1.94,ba:64:a3:07:d0:f6,Debian 12.6,8,Unknown,-,1,268,VLAN-172.20,2,32,NVMe,Shared - Group 2
