Cage,Rack,Label,Server IP,HostName,Server Type,Server Model,ZService,Component,Group,OS,RAM (GB),Memory Encryption,Disk Encryption,Role,LB Type,PO Number,VLAN,CPU(s),Drive Type
CT1E,CT1E-118,CT1E-118-D1R34-vm18,10.164.38.167,10.164.38.167,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-119,CT1E-119-D1R31-vm24,10.164.38.156,10.164.38.156,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,ZOHOCHN-SIFY/25-26/0066,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-0117,CT1E-0117-D1R31-vm2,10.164.39.201,10.164.39.201,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
Cage1,CT01,CT01-D2C12-N1-vm2,172.20.209.39,172.20.209.39,VM,-,ProjectXTest,Test-Server,Ponrajkumar,Debian 12.9,8,Unknown,HW Encryption Not Supported,-,None,-,VLAN-172.20,64,SSD
NWL-HALL4-POD1-ROW2,CT1B-0203,CT1B-0203-GHC24-N2-vm19,172.20.213.215,172.20.213.215,VM,-,ProjectXTest,Test-Server,SanthoshM,FreeBSD 13.5-p1,8,SME,HW Encryption Supported,-,None,ZOHOEST/22-23/0090,VLAN-172.20,32,SSD
CT1E,CT1E-115,CT1E-115-H1U12-vm6,10.164.36.252,10.164.36.252,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-115,CT1E-115-H1U12-vm7,10.164.39.178,10.164.39.178,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-115,CT1E-115-H1U12-vm48,10.164.39.247,10.164.39.247,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.4,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-116,CT1E-116-H1U12-vm8,10.164.36.127,10.164.36.127,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-116,CT1E-116-H1U12-vm9,10.164.36.107,10.164.36.107,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-0115,CT1E-0115-D1R34-vm5,10.164.38.251,10.164.38.251,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-0117,CT1E-0117-D1R32-vm12,10.164.38.136,10.164.38.136,VM,-,ProjectXTest,Test-Server,Sathrak,Debian 13.5,16,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-4,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R39-vm9,10.164.201.183,10.164.201.183,VM,-,ProjectXTest,Test-Server,Arun,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R37-vm6,10.164.202.62,10.164.202.62,VM,-,ProjectXTest,Test-Server,Arun,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R37-vm30,10.164.205.107,10.164.205.107,VM,-,ProjectXTest,Test-Server,Arun,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R39-vm29,10.164.205.173,10.164.205.173,VM,-,ProjectXTest,Test-Server,Arun,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0112,CT1E-0112-D1R39-vm32,10.164.205.115,10.164.205.115,VM,-,ProjectXTest,Test-Server,Arun,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-0111,CT1E-0111-D1R31-vm24,10.164.205.80,10.164.205.80,VM,-,ProjectXTest,Test-Server,Arun,Debian 13.5,8,None,HW Encryption Supported,-,None,-,CT1E-COMMON APP-1,32,NVMe
CT1E,CT1E-302,CT1E-302-GTA08-N4-vm5,10.164.117.102,10.164.117.102,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
CT1E,CT1E-302,CT1E-302-GTA08-N4-vm6,10.164.117.174,10.164.117.174,VM,-,ProjectXTest,Test-Server,AravindS,Debian 12.9,4,None,HW Encryption Supported,-,None,ZOHO CHN-SIFY/25-26/0072,CT1E-NON-SAS COMPUTE,32,NVMe
